Beer,Nosepoke,MagEntry
75.59495687,75.59495687,45.04469514
117.3151743,92.00500727,52.08473611
147.1453593,117.3151743,62.70484471
180.1954918,117.5851827,62.94487047
207.8056448,132.2752409,65.15474439
276.6559641,147.1453593,76.38499331
302.1961625,180.1954918,76.6048665
332.0661607,198.425477,76.72496128
359.3864806,203.3256037,93.40502024
394.6666393,207.8056448,98.26500607
449.1168973,226.0957594,99.06503677
480.7770112,276.6559641,109.1651175
514.9171712,291.5560653,114.5051546
545.1874304,302.1961625,114.8451226
578.9075046,321.6061234,118.195159
604.6076109,332.0661607,139.3452647
631.0277939,332.4462695,139.4753537
655.5978956,349.286236,139.6352615
679.8380237,359.3864806,139.83531
705.2581275,379.116585,139.9652352
730.3182745,380.0265524,140.5752115
755.3684275,394.6666393,147.725353
781.1786342,412.0865996,164.0654438
806.3487182,417.5467315,175.4854195
833.9088998,449.1168973,180.9553819
876.799099,468.6869299,192.9655092
901.1791463,480.7770112,199.6755762
928.6393857,514.9171712,204.2755482
952.9194906,515.287122,208.6656411
978.7696743,545.1874304,219.935703
1005.419725,545.5673754,220.1255937
1038.449869,578.9075046,221.4356582
1095.590216,579.3375847,222.3256371
1123.290317,604.6076109,227.1856229
1149.160489,626.1076787,230.385746
1174.600581,631.0277939,253.3657806
1204.830863,650.8178637,254.1859636
1229.380977,655.5978956,254.8157644
1258.821059,657.787945,265.1558707
,679.8380237,265.2759655
,697.528156,265.7558527
,705.2581275,269.1858432
,725.2682343,271.2459674
,729.0182042,277.6560435
,730.3182745,293.9759822
,752.2484224,297.0959871
,755.3684275,299.9361537
,775.6485426,303.4760807
,781.1786342,323.626107
,806.3487182,328.7862477
,824.6588211,333.1561882
,825.1387086,345.4763007
,829.3788877,350.2263501
,833.9088998,353.1463065
,848.5190041,357.0663424
,876.799099,360.6064334
,896.1692467,376.6565273
,896.5192089,380.7864423
,901.1791463,384.8065844
,923.6493108,388.0665088
,928.6393857,391.5666227
,946.0894926,395.5266354
,946.789417,410.7065754
,952.9194906,411.2365978
,974.9395866,415.0566912
,978.7696743,418.5366528
,979.219579,440.0167322
,1000.439644,445.1368959
,1001.779691,447.4068992
,1005.419725,449.8168218
,1024.319816,462.596997
,1028.629791,470.5370111
,1038.449869,477.7469542
,1095.590216,481.3669991
,1115.060306,495.3071616
,1123.290317,506.4071577
,1149.160489,511.5771289
,1166.200504,511.9270911
,1174.600581,516.0371814
,1194.230743,528.9372876
,1198.100808,529.1071897
,1204.830863,529.2572672
,1229.380977,529.7872896
,1249.941094,531.1373312
,1250.341028,532.3572838
,1251.161047,532.5673268
,1258.821059,534.3572788
,,535.2072806
,,539.8473933
,,541.0973287
,,541.2673945
,,542.3772466
,,546.2772942
,,560.8574157
,,561.6574464
,,561.7673831
,,561.8874779
,,562.4874599
,,564.3773541
,,565.7273958
,,567.697408
,,571.8874521
,,572.0275354
,,576.0774963
,,576.40747
,,580.0075264
,,593.9576831
,,598.3176293
,,605.1876044
,,618.5877504
,,626.8577383
,,628.597719
,,631.8478131
,,646.0478258
,,649.2277966
,,651.7378254
,,654.7678823
,,658.3879271
,,677.0679808
,,680.8081203
,,695.2081819
,,695.3181183
,,700.0181966
,,702.2782054
,,705.8381209
,,719.6783412
,,722.3982489
,,725.9583282
,,730.9482393
,,746.518446
,,750.4083354
,,753.0084763
,,756.0984986
,,768.3884647
,,770.3984537
,,776.5486796
,,779.2386048
,,781.8685644
,,793.6986318
,,795.5285606
,,803.1286068
,,806.9287117
,,820.0287027
,,820.2187572
,,821.7586892
,,826.6288333
,,830.1789184
,,832.0588186
,,834.468905
,,857.2890317
,,858.0189388
,,866.1190248
,,871.2190361
,,871.8190181
,,871.9491072
,,877.4390578
,,892.6491444
,,894.0791399
,,897.6791961
,,901.8692403
,,917.8793573
,,921.0993049
,,924.7093556
,,926.7193446
,,929.3994393
,,941.4293914
,,942.8294041
,,942.99947
,,947.8294733
,,950.5693696
,,953.6294093
,,968.989573
,,971.9796531
,,975.7296231
,,979.8796902
,,994.7797914
,,997.4897048
,,1002.769613
,,1003.319624
,,1006.349681
,,1021.899735
,,1025.749811
,,1029.62987
,,1035.779932
,,1039.359836
,,1053.550019
,,1055.800033
,,1090.640118
,,1096.340275
,,1112.83028
,,1117.050307
,,1119.470387
,,1121.660273
,,1124.05037
,,1143.440507
,,1147.270431
,,1147.780465
,,1149.880566
,,1161.080668
,,1161.920676
,,1164.070584
,,1168.160686
,,1169.190584
,,1172.760658
,,1175.17058
,,1189.820662
,,1192.330691
,,1198.88085
,,1205.460828
,,1225.710961
,,1230.050918
,,1246.091018
,,1247.910953
,,1251.781018
,,1256.751104
,,1259.861115
,,1273.281249
,,1312.501268
,,1312.831406
,,1315.561472